x,y
943,811
944,811
945,811
946,812
947,812
948,812
949,812
950,813
951,813
952,813
953,813
954,813
955,813
956,813
957,813
958,813
959,813
960,813
961,812
962,812
963,812
964,812
965,811
966,811
967,810
968,809
969,809
970,808
971,807
972,806
973,805
974,804
975,804
976,804
977,804
978,804
979,804
980,802
981,800
982,797
983,795
984,793
985,793
986,794
987,795
988,796
989,796
990,797
991,798
992,798
993,798
994,798
995,797
996,797
997,796
998,795
999,794
1000,793
1001,792
1002,791
1003,789
1004,788
1005,787
1006,785
1007,784
1008,783
1009,782
1010,781
1011,780
1012,780
1013,780
1014,780
1015,780
1016,780
1017,780
1018,780
1019,781
1020,782
1021,783
1022,784
1023,786
1024,786
1025,787
1026,787
1027,788
1028,788
1029,788
1030,789
1031,789
1032,790
1033,791
1034,793
1035,793
1036,794
1037,794
1038,795
1039,795
1040,794
1041,793
1042,792
1043,791
1044,791
1045,791
1046,792
1047,793
1048,794
1049,795
1050,795
1051,796
1052,796
1053,797
1054,797
1055,797
1056,797
1057,798
1058,797
1059,797
1060,797
1061,796
1062,796
1063,796
1064,796
1065,796
1066,796
1067,796
1068,796
1069,797
1070,798
1071,799
1072,799
1073,800
1074,801
1075,802
1076,803
1077,804
1078,806
1079,807
1080,808
1081,810
1082,811
1083,812
1084,813
1085,815
1086,816
1087,816
1088,817
1089,817
1090,817
1091,817
1092,817
1093,816
1094,816
1095,815
1096,815
1097,815
1098,815
1099,814
1100,814
1101,814
1102,814
1103,813
1104,813
1105,813
1106,812
1107,812
1108,812
1109,812
1110,811
1111,811
1112,811
1113,811
1114,811
1115,811
1116,811
1117,811
1118,811
1119,811
1120,812
1121,812
1122,813
1123,814
1124,814
1125,815
1126,816
1127,817
1128,817
1129,818
1130,818
1131,818
1132,818
1133,818
1134,818
1135,818
1136,818
1137,819
1138,819
1139,819
1140,819
1141,818
1142,818
1143,817
1144,816
1145,816
1146,816
1147,816
1148,816
1149,816
1150,816
1151,817
1152,817
1153,817
1154,818
1155,818
1156,818
1157,818
1158,819
1159,819
1160,819
1161,819
1162,819
1163,819
1164,819
1165,819
1166,819
1167,819
1168,820
1169,820
1170,821
1171,821
1172,822
1173,822
1174,823
1175,823
1176,823
1177,824
1178,824
1179,824
1180,824
1181,824
1182,824
1183,824
1184,824
1185,824
1186,825
1187,824
1188,824
1189,824
1190,824
1191,823
1192,823
1193,823
1194,823
1195,823
1196,823
1197,823
1198,823
1199,823
1200,824
1201,824
1202,824
1203,824
1204,825
1205,825
1206,825
1207,825
1208,825
1209,824
1210,824
1211,824
1212,824
1213,824
1214,824
1215,824
1216,825
1217,825
1218,825
1219,825
1220,825
1221,825
1222,825
1223,825
1224,825
1225,825
1226,825
1227,825
1228,825
1229,825
1230,825
1231,825
1232,825
1233,825
1234,825
1235,825
1236,825
1237,825
1238,825
1239,825
1240,824
1241,824
1242,824
1243,824
1244,823
1245,823
1246,822
1247,822
1248,821
1249,821
1250,821
1251,820
1252,820
1253,820
1254,820
1255,820
1256,819
1257,819
1258,819
1259,818
1260,818
1261,818
1262,818
1263,818
1264,817
1265,817
1266,817
1267,817
1268,817
1269,817
1270,817
1271,817
1272,817
1273,816
1274,816
1275,816
1276,816
1277,815
1278,815
1279,815
1280,815
1281,814
1282,814
1283,814
1284,813
1285,813
1286,813
1287,813
1288,813
1289,813
1290,813
1291,813
1292,812
1293,811
1294,810
1295,809
1296,808
1297,808
1298,808
1299,806
1300,803
1301,800
1302,797
1303,794
1304,794
1305,794
1306,795
1307,795
1308,795
1309,796
1310,796
1311,796
1312,796
1313,796
1314,796
1315,796
1316,796
1317,796
1318,798
1319,800
1320,802
1321,804
1322,806
